cms_certification_number_ccn,facility_name,address_line_1,address_line_2,citytown,state,zip_code,countyparish,telephone_number,cms_region,measure_code,measure_name,score,footnote,measure_date_range
011502,"COMFORT CARE COASTAL HOSPICE, LLC","22502 US HIGHWAY 98",,FAIRHOPE,AL,36532,Baldwin,"(251) 462-1428",4,H_012_00_OBSERVED,"Hospice Care Index Overall Score",9.0,,01/01/2021-12/31/2022
011503,"SAAD ENTERPRISES, INC","1515 UNIVERSITY BOULEVARD, SOUTH",,MOBILE,AL,36609,Mobile,"(251) 343-9600",4,H_012_00_OBSERVED,"Hospice Care Index Overall Score",7.0,,01/01/2021-12/31/2022
011505,"HH HEALTH SYSTEM - CARING FOR LIFE, LLC","10000 SERENITY LANE SOUTHEAST",,HUNTSVILLE,AL,35803,Madison,"(256) 650-1212",4,H_012_00_OBSERVED,"Hospice Care Index Overall Score",10.0,,01/01/2021-12/31/2022
011506,"SOUTHERNCARE NEW BEACON - JASPER","300 NORTH AIRPORT ROAD, UNITS 3 AND 4",,JASPER,AL,35504,Walker,"(205) 387-9339",4,H_012_00_OBSERVED,"Hospice Care Index Overall Score",8.0,,01/01/2021-12/31/2022
011508,"SOUTHERNCARE NEW BEACON OF ANNISTON","1419 LEIGHTON AVENUE, UNIT A",,ANNISTON,AL,36207,Calhoun,"(205) 236-5334",4,H_012_00_OBSERVED,"Hospice Care Index Overall Score",10.0,,01/01/2021-12/31/2022
011510,"CULLMAN REGIONAL HOSPICE","1938 AL HWY 157, SUITE 102",,CULLMAN,AL,35058,Cullman,"(205) 739-5185",4,H_012_00_OBSERVED,"Hospice Care Index Overall Score",10.0,,01/01/2021-12/31/2022
011511,"HOSPICE OF THE VALLEY, INC","240 JOHNSTON STREET, SE",,DECATUR,AL,35601,Morgan,"(205) 350-5585",4,H_012_00_OBSERVED,"Hospice Care Index Overall Score",9.0,,01/01/2021-12/31/2022
011512,"SOUTHERNCARE NEW BEACON SCOTTSBORO","1602 S BROAD STREET",,SCOTTSBORO,AL,35768,Jackson,"(205) 574-4622",4,H_012_00_OBSERVED,"Hospice Care Index Overall Score",10.0,,01/01/2021-12/31/2022
011513,"HOSPICE OF MARSHALL COUNTY INC","408 MARTLING ROAD",,ALBERTVILLE,AL,35951,Marshall,"(256) 891-7724",4,H_012_00_OBSERVED,"Hospice Care Index Overall Score",9.0,,01/01/2021-12/31/2022
011514,"CARE FIRST, LLC","2401 STEMLEY BRIDGE ROAD, STE 9",,"PELL CITY",AL,35128,"St. Clair","(205) 313-2800",4,H_012_00_OBSERVED,"Hospice Care Index Overall Score",9.0,,01/01/2021-12/31/2022
011516,"HOSPICE OF LIMESTONE COUNTY, INC.","405 SOUTH MARION STREET",,ATHENS,AL,35611,Limestone,"(256) 232-5017",4,H_012_00_OBSERVED,"Hospice Care Index Overall Score",9.0,,01/01/2021-12/31/2022
011517,"HOSPICE OF WEST ALABAMA","3851 LOOP ROAD",,TUSCALOOSA,AL,35404,Tuscaloosa,"(205) 345-0067",4,H_012_00_OBSERVED,"Hospice Care Index Overall Score",10.0,,01/01/2021-12/31/2022
011522,"KINDRED HOSPICE - DOTHAN","2740 HEADLAND AVENUE",,DOTHAN,AL,36303,Houston,"(334) 792-1100",4,H_012_00_OBSERVED,"Hospice Care Index Overall Score",10.0,,01/01/2021-12/31/2022
011523,"HOSPICE OF MONTGOMERY, INC","1111 HOLLOWAY PARK",,MONTGOMERY,AL,36117,Montgomery,"(334) 279-6677",4,H_012_00_OBSERVED,"Hospice Care Index Overall Score",10.0,,01/01/2021-12/31/2022
011524,"CHATTAHOOCHEE HOSPICE INC","6 MEDICAL PARK NORTH",,VALLEY,AL,36854,Chambers,"(334) 756-8043",4,H_012_00_OBSERVED,"Hospice Care Index Overall Score",9.0,,01/01/2021-12/31/2022
011526,"LAKESIDE HOSPICE INC","4010 MASTERS ROAD",,"PELL CITY",AL,35128,"St. Clair","(205) 884-1111",4,H_012_00_OBSERVED,"Hospice Care Index Overall Score",10.0,,01/01/2021-12/31/2022
011527,"AMEDISYS HOSPICE OF BIRMINGHAM","2204 LAKESHORE DRIVE, SUITE 160",,HOMEWOOD,AL,35209,Jefferson,"(205) 868-9221",4,H_012_00_OBSERVED,"Hospice Care Index Overall Score",10.0,,01/01/2021-12/31/2022
011528,COMPASSUS-AUBURN,"333 SAMFORD VILLAGE COURT, SUITE B",,AUBURN,AL,36830,Lee,"(334) 826-1899",4,H_012_00_OBSERVED,"Hospice Care Index Overall Score",10.0,,01/01/2021-12/31/2022
011534,"HOSPICE OF NORTHWEST ALABAMA","1315 US HIGHWAY 43     P O BOX 1216",,WINFIELD,AL,35594,Marion,"(205) 487-8140",4,H_012_00_OBSERVED,"Hospice Care Index Overall Score",9.0,,01/01/2021-12/31/2022
011538,"HOSPICE OF CLAY COUNTY","83825 HIGHWAY 9  P O BOX 1270",,ASHLAND,AL,36251,Clay,"(205) 354-2131",4,H_012_00_OBSERVED,"Hospice Care Index Overall Score",9.0,,01/01/2021-12/31/2022
011543,"EH HEALTH HOSPICE OF ALABAMA, LLC","2400 JOHN HAWKINS PARKWAY, SUITE 104B",,HOOVER,AL,35244,Jefferson,"(205) 979-2619",4,H_012_00_OBSERVED,"Hospice Care Index Overall Score",10.0,,01/01/2021-12/31/2022
011546,"COMMUNITY SENIOR LIFE, INC.","1450 N MCKENZIE STREET",,FOLEY,AL,36535,Baldwin,"(251) 334-9435",4,H_012_00_OBSERVED,"Hospice Care Index Overall Score",9.0,,01/01/2021-12/31/2022
011548,"AGAPE CARE ALABAMA, LLC","4128 CROSSHAVEN DRIVE",,VESTAVIA,AL,35243,Jefferson,"(205) 349-3065",4,H_012_00_OBSERVED,"Hospice Care Index Overall Score",7.0,,01/01/2021-12/31/2022
011549,"HOMESTEAD HOSPICE OF CAHABA, LLC","3005 CITIZENS PARKWAY",,SELMA,AL,36701,Dallas,"(334) 418-0566",4,H_012_00_OBSERVED,"Hospice Care Index Overall Score",9.0,,01/01/2021-12/31/2022
011558,"ALABAMA HOSPICE CARE OF MOBILE","6001 AIRPORT BLVD, SUITE A",,MOBILE,AL,36608,Mobile,"(251) 345-1023",4,H_012_00_OBSERVED,"Hospice Care Index Overall Score",9.0,,01/01/2021-12/31/2022
011566,"AMEDISYS HOSPICE OF DECATUR","432 MOULTON ST. EAST",,DECATUR,AL,35601,Autauga,"(256) 350-8688",4,H_012_00_OBSERVED,"Hospice Care Index Overall Score",10.0,,01/01/2021-12/31/2022
011567,"AMEDISYS HOSPICE OF MOBILE","11 NORTH WATER STREET, SUITE 11225",,MOBILE,AL,36602,Mobile,"(251) 343-0989",4,H_012_00_OBSERVED,"Hospice Care Index Overall Score",9.0,,01/01/2021-12/31/2022
011576,"COMFORT CARE HOSPICE LLC","547 U.S. HIGHWAY 80 WEST, SUITE 2",,DEMOPOLIS,AL,36732,Marengo,"(334) 289-2106",4,H_012_00_OBSERVED,"Hospice Care Index Overall Score",10.0,,01/01/2021-12/31/2022
011577,"COVENANT HOSPICE INC","1512 WEST MAIN STREET",,DOTHAN,AL,36301,Houston,"(334) 794-7847",4,H_012_00_OBSERVED,"Hospice Care Index Overall Score",10.0,,01/01/2021-12/31/2022
011579,COMPASSUS-GADSDEN,"1735 HIGHWAY 77",,SOUTHSIDE,AL,35907,Etowah,"(256) 782-3560",4,H_012_00_OBSERVED,"Hospice Care Index Overall Score",10.0,,01/01/2021-12/31/2022
011582,"COMFORT CARE HOSPICE OF GREENVILLE","23 JAMESON LANE",,GREENVILLE,AL,36037,Butler,"(334) 383-9688",4,H_012_00_OBSERVED,"Hospice Care Index Overall Score",10.0,,01/01/2021-12/31/2022
011583,"COMMUNITY HOSPICE CARE","1526 GILMER AVENUE",,TALLASSEE,AL,36078,Elmore,"(334) 283-6541",4,H_012_00_OBSERVED,"Hospice Care Index Overall Score",7.0,,01/01/2021-12/31/2022
011586,"AMEDISYS HOSPICE OF HAMILTON","1215 MILITARY STREET SOUTH - SUITE B",,HAMILTON,AL,35570,Marion,"(205) 921-9091",4,H_012_00_OBSERVED,"Hospice Care Index Overall Score",10.0,,01/01/2021-12/31/2022
011591,"HOPE HOSPICE, INC","651 MAIN STREET, STE 159",,GARDENDALE,AL,35071,Jefferson,"(205) 583-4673",4,H_012_00_OBSERVED,"Hospice Care Index Overall Score",9.0,,01/01/2021-12/31/2022
011592,"SHOALS HOSPICE, LLC","115 HELTON COURT",,FLORENCE,AL,35630,Lauderdale,"(256) 767-1322",4,H_012_00_OBSERVED,"Hospice Care Index Overall Score",10.0,,01/01/2021-12/31/2022
011597,"COMFORT CARE HOSPICE , LLC","820 SOUTH THREE NOTCH STREET, SUITE C",,ANDALUSIA,AL,36420,Covington,"(334) 427-4000",4,H_012_00_OBSERVED,"Hospice Care Index Overall Score",9.0,,01/01/2021-12/31/2022
011598,"KARE-IN-HOME HOSPICE OF MOBILE,LLC","201-B SHELL ROAD",,SARALAND,AL,36571,Mobile,"(251) 246-2727",4,H_012_00_OBSERVED,"Hospice Care Index Overall Score",8.0,,01/01/2021-12/31/2022
011600,"ENCOMPASS HEALTH HOSPICE - PRATTVILLE","4782 WOODMERE BLVD SUITE C",,MONTGOMERY,AL,36106,Montgomery,"(334) 289-1007",4,H_012_00_OBSERVED,"Hospice Care Index Overall Score",10.0,,01/01/2021-12/31/2022
011602,"KINDRED HOSPICE - PHENIX CITY","3615 SOUTH RAILROAD STREET, SUITE 3",,"PHENIX CITY",AL,36867,Russell,"(334) 298-8898",4,H_012_00_OBSERVED,"Hospice Care Index Overall Score",10.0,,01/01/2021-12/31/2022
011603,"DAYSPRING HOSPICE, LLC","1275 JAMES DR. ST. A",,ENTERPRISE,AL,36331,Coffee,"(334) 347-2999",4,H_012_00_OBSERVED,"Hospice Care Index Overall Score",9.0,,01/01/2021-12/31/2022
011604,"LEGACY HOSPICE OF THE EAST, LLC","951 US HWY 80 WEST, SUITE D",,DEMOPOLIS,AL,36732,Marengo,"(334) 218-1826",4,H_012_00_OBSERVED,"Hospice Care Index Overall Score",10.0,,01/01/2021-12/31/2022
011605,"KINDRED HOSPICE-MOBILE","2800 DAUPHIN STREET, SUITE 103",,MOBILE,AL,36606,Mobile,"(251) 478-9900",4,H_012_00_OBSERVED,"Hospice Care Index Overall Score",9.0,,01/01/2021-12/31/2022
011607,"COMFORT CARE HOSPICE, LLC","245 CAHABA VALLEY PKWY, SUITE 110",,PELHAM,AL,35124,Shelby,"(205) 685-0421",4,H_012_00_OBSERVED,"Hospice Care Index Overall Score",9.0,,01/01/2021-12/31/2022
011608,"AVEANNA HOSPICE","100 CONCOURSE PARKWAY, SUITE 320",,BIRMINGHAM,AL,35224,Jefferson,"(256) 245-9212",4,H_012_00_OBSERVED,"Hospice Care Index Overall Score",10.0,,01/01/2021-12/31/2022
011612,"COLUMBUS HOSPICE OF ALABAMA","1521 FIFTH AVENUE",,"PHENIX CITY",AL,36867,Russell,"(334) 664-0075",4,H_012_00_OBSERVED,"Hospice Care Index Overall Score",10.0,,01/01/2021-12/31/2022
011617,"COMFORT CARE HOSPICE OF PELL CITY","2048 MARTIN STREET S",,"PELL CITY",AL,35128,"St. Clair","(205) 813-0290",4,H_012_00_OBSERVED,"Hospice Care Index Overall Score",7.0,,01/01/2021-12/31/2022
011619,COMPASSUS-MONTGOMERY,"4253 WETUMPKA HIGHWAY",,MONTGOMERY,AL,36110,Montgomery,"(334) 517-6112",4,H_012_00_OBSERVED,"Hospice Care Index Overall Score","Not Available",2,01/01/2021-12/31/2022
011621,"IVY CREEK HOSPICE","201 MARIARDEN ROAD",,DADEVILLE,AL,36853,Tallapoosa,"(256) 825-7821",4,H_012_00_OBSERVED,"Hospice Care Index Overall Score",9.0,,01/01/2021-12/31/2022
011622,"HOSPICE OF NORTH ALABAMA, LLC","2905 WESTCORP BLVD,, STE 115, 116, 117",,HUNTSVILLE,AL,35805,Madison,"(256) 533-4300",4,H_012_00_OBSERVED,"Hospice Care Index Overall Score",9.0,,01/01/2021-12/31/2022
011623,"AMEDISYS HOSPICE OF MONTGOMERY","8160 DECKER LANE",,MONTGOMERY,AL,36117,Montgomery,"(334) 395-7789",4,H_012_00_OBSERVED,"Hospice Care Index Overall Score",9.0,,01/01/2021-12/31/2022
011624,"AFFINITY HOSPICE","216 AQUARIUS DRIVE #306",,BIRMINGHAM,AL,35209,Jefferson,"(205) 949-0400",4,H_012_00_OBSERVED,"Hospice Care Index Overall Score",9.0,,01/01/2021-12/31/2022
011626,"ABC HOSPICE","266 INDUSTRIAL DRIVE",,RAINSVILLE,AL,35986,DeKalb,"(866) 847-8660",4,H_012_00_OBSERVED,"Hospice Care Index Overall Score",9.0,,01/01/2021-12/31/2022
011628,"COMMUNITY HOSPICE OF DALE MEDICAL CENTER","311 JAMES STREET",,OZARK,AL,36360,Dale,"(334) 774-1380",4,H_012_00_OBSERVED,"Hospice Care Index Overall Score",8.0,,01/01/2021-12/31/2022
011629,"ADORATION HOSPICE","1000 SOUTHLAKE PARK, SUITE 100",,BIRMINGHAM,AL,35244,Jefferson,"(205) 682-9996",4,H_012_00_OBSERVED,"Hospice Care Index Overall Score",9.0,,01/01/2021-12/31/2022
011632,"LHCG XXIX, LLC","1404 EAST AVALON AVENUE, SUITE C",,TUSCUMBIA,AL,35674,Colbert,"(256) 314-1204",4,H_012_00_OBSERVED,"Hospice Care Index Overall Score",9.0,,01/01/2021-12/31/2022
011634,"HEARTLITE HOSPICE","111 EAST LAUREL STREET",,SCOTTSBORO,AL,35768,Jackson,"(256) 259-1754",4,H_012_00_OBSERVED,"Hospice Care Index Overall Score",8.0,,01/01/2021-12/31/2022
011635,"COMFORT CARE HOSPICE, LLC","23730 JOHN T REID PKWY, SUITE A",,SCOTTSBORO,AL,35768,Jackson,"(256) 259-0906",4,H_012_00_OBSERVED,"Hospice Care Index Overall Score",10.0,,01/01/2021-12/31/2022
